# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
ai 	癌	c=6 d=1 t=17433
ai hao 	愛好	c=1 d=1 t=13380
ai zheng 	癌症	c=2 d=1.97531 t=2101
an hao 	安好	c=1 d=1 t=2131
an jing 	安靜	c=3 d=1 t=14707
an mo 	按摩	c=2 d=1.96561 t=1262
an pai 	安排	c=2 d=1.92312 t=15145
an quan 	安全	c=6 d=1.86473 t=16618
an tu suo ji 	按圖索驥	c=1 d=1 t=10105
an zhuang 	安裝	c=2 d=1 t=16747
ao 	熬	c=3 d=2.88504 t=13079
ba 	吧	c=8 d=1.00079 t=15735
ba 	把	c=37 d=1.0389 t=16513
ba 	罷	c=0 d=0.1 t=10481
ba ba 	爸爸	c=1 d=1 t=1243
ba he 	灞河	c=1 d=1 t=15584
ba ma 	爸媽	c=1 d=1 t=321
bai 	白	c=1 d=1 t=4557
bai e 	白堊	c=1 d=1 t=342
bai se 	白色	c=1 d=1 t=3853
bai tian 	白天	c=1 d=1 t=15230
bai wan 	百萬	c=1 d=0.553845 t=6875
bai wan ci 	百萬詞	c=1 d=1 t=6876
bai yun 	白雲	c=1 d=1 t=14731
ban 	版	c=3 d=1 t=13585
ban 	般	c=1 d=1 t=13586
ban ben 	版本	c=6 d=3.1349 t=16837
ban gong shi 	辦公室	c=1 d=1 t=17348
ban jiao 	半角	c=4 d=2.98506 t=13872
ban li 	辦理	c=1 d=1 t=17194
ban shang 	班上	c=0 d=0.1 t=15756
ban sui 	伴隨	c=1 d=1 t=5914
ban tian 	半天	c=2 d=1 t=15676
ban tou ming 	半透明	c=1 d=1 t=4456
ban zhen 	半真	c=2 d=1.89137 t=16664
bang 	棒	c=1 d=1 t=5338
bang ding 	綁定	c=1 d=1 t=13684
bang zhu 	幫助	c=2 d=1 t=14898
bao 	包	c=3 d=1 t=7806
bao 	抱	c=1 d=1 t=13168
bao bao 	抱抱	c=1 d=1 t=329
bao chi 	保持	c=5 d=1 t=16010
bao cun 	保存	c=4 d=1.57754 t=11866
bao cuo 	報錯	c=1 d=1 t=2199
bao fu 	抱負	c=1 d=1 t=14910
bao gao 	報告	c=4 d=1.016 t=17245
bao guan 	保管	c=1 d=1 t=4555
bao guang 	曝光	c=1 d=1 t=4559
bao han 	包含	c=4 d=1 t=16587
bao hu 	保護	c=4 d=2.80846 t=2751
bao jing 	報警	c=1 d=1 t=2877
bao kuo 	包括	c=8 d=1.00001 t=16561
bao liu 	保留	c=3 d=0.1 t=13431
bao man 	飽滿	c=1 d=1 t=16114
bao rong xing 	包容性	c=1 d=1 t=471
bao shui qu 	保稅區	c=1 d=1 t=15583
bao yang 	抱恙	c=1 d=1 t=542
bao zhang 	保障	c=2 d=1.9802 t=17335
bao zheng 	保證	c=1 d=1 t=16814
bao zhong 	保重	c=1 d=1 t=729
bei 	倍	c=1 d=1 t=6822
bei 	北	c=1 d=1.02908 t=6818
bei 	唄	c=1 d=1 t=2210
bei 	背	c=1 d=1 t=13214
bei 	被	c=10 d=1.91664 t=12463
bei bao 	背包	c=1 d=1 t=6293
bei bu 	背部	c=2 d=1.9802 t=2069
bei chen 	北辰	c=1 d=1 t=15225
bei diao yong 	被調用	c=4 d=1.9802 t=11624
bei fang 	北方	c=1 d=1 t=661
bei fang ren 	北方人	c=1 d=1 t=15739
bei fen 	備份	c=3 d=1.97045 t=15368
bei guang 	背光	c=1 d=1 t=15336
bei hua 	北化	c=1 d=1 t=14246
bei hua hang tian 	北華航天	c=1 d=1 t=6572
bei jing 	北京	c=3 d=1.99501 t=14434
bei jing 	背景	c=6 d=1.95123 t=15207
bei shang 	悲傷	c=1 d=1 t=4999
bei xiao qu 	北校區	c=1 d=1 t=3564
bei xing 	孛星	c=2 d=1.67368 t=6504
bei ye 	貝葉	c=0 d=0.1 t=1095
bei ye si 	被也似	c=1 d=1 t=1091
bei ye si 	貝葉斯	c=1 d=1 t=1096
bei yong 	備用	c=1 d=1 t=477
bei zi 	杯子	c=3 d=2.84209 t=505
ben 	本	c=4 d=1 t=12861
ben di 	本地	c=2 d=1.00002 t=16529
ben fang fa 	本方法	c=5 d=1 t=10907
ben ji 	本級	c=1 d=1 t=17355
ben jie 	本節	c=1 d=1 t=7411
ben ke 	本科	c=3 d=1.99005 t=17085
ben neng 	本能	c=1 d=1 t=3580
ben san 	奔三	c=1 d=1 t=349
ben shen 	本身	c=2 d=1.89137 t=5078
ben wen 	本文	c=8 d=1.79861 t=9852
ben zhi 	本質	c=2 d=1.02182 t=5719
beng xian 	崩陷	c=0 d=0.1 t=9723
bi 	比	c=7 d=1 t=16051
bi bao 	閉包	c=2 d=1.22537 t=5518
bi ji 	筆記	c=2 d=1 t=10371
bi ji ben 	筆記本	c=1 d=1 t=9599
bi jiao 	比較	c=15 d=1.0267 t=15125
bi jiao lei 	比較累	c=1 d=1 t=13065
bi jiao yu 	比較於	c=1 d=1 t=3880
bi jing 	畢竟	c=1 d=1 t=1422
bi li 	比例	c=2 d=1 t=11087
bi mian 	避免	c=9 d=4.23429 t=14227
bi ran 	必然	c=5 d=1.61864 t=13443
bi ru 	比如	c=14 d=1.03633 t=16645
bi shi 	閉式	c=3 d=1.55927 t=7301
bi shi jie 	比世界	c=1 d=1 t=6740
bi shi jie 	閉式解	c=3 d=1.01139 t=8111
bi tao 	筆套	c=1 d=1 t=13764
bi ti 	筆體	c=1 d=1 t=15634
bi xia 	筆下	c=1 d=1 t=13320
bi xu 	必須	c=4 d=1.3396 t=17323
bi xu you 	必須有	c=1 d=1 t=11686
bi xue 	必學	c=1 d=1 t=13809
bi yan 	必嚴	c=1 d=1 t=17201
bi yao 	必要	c=10 d=1.00009 t=14286
bi ye 	畢業	c=7 d=3.50778 t=14906
bi ye ji 	畢業季	c=1 d=1 t=14587
bi ye sheng 	畢業生	c=1 d=1 t=14564
bi zhi 	壁紙	c=1 d=1 t=14399
bian 	便	c=1 d=1 t=17187
bian 	變	c=1 d=1 t=16309
bian cheng 	編程	c=10 d=1 t=14575
bian cheng 	變成	c=2 d=1 t=9474
bian de 	變得	c=1 d=1 t=15711
bian fen 	變分	c=1 d=1 t=1697
bian geng 	變更	c=1 d=1 t=17263
bian hua 	變化	c=6 d=2.03798 t=16183
bian huan 	變換	c=3 d=1 t=12005
bian ji qi 	編輯器	c=2 d=1.90484 t=9594
bian jie 	邊界	c=2 d=0.10563 t=4437
bian le 	變了	c=2 d=1.96079 t=15718
bian li 	遍歷	c=1 d=1 t=13555
bian liang 	變量	c=8 d=1.526 t=11573
bian liang de 	變量的	c=1 d=1 t=8984
bian ma 	編碼	c=10 d=1 t=15038
bian ma qi 	編碼器	c=1 d=1 t=1848
bian mian 	便面	c=2 d=1.84789 t=4307
bian shi 	便是	c=3 d=1 t=13235
bian shi 	辨識	c=1 d=1 t=6565
bian xing 	變形	c=1 d=1 t=8407
bian xing 	變性	c=1 d=1 t=8406
bian xing chang 	變形場	c=1 d=1 t=4617
bian yi 	編譯	c=5 d=1.96562 t=16751
bian yi 	變異	c=1 d=1 t=6247
bian yi qi 	編譯器	c=4 d=1 t=12328
bian yuan 	邊緣	c=5 d=1 t=17058
biao 	表	c=4 d=1 t=16003
biao da 	表達	c=11 d=1.40861 t=13575
biao da shi 	表達式	c=2 d=1.92312 t=5258
biao ge 	表格	c=4 d=1.02024 t=17082
biao guan 	表觀	c=1 d=1 t=11892
biao he 	表和	c=1 d=1 t=17081
biao ji 	標記	c=3 d=1.65377 t=5679
biao jian 	標間	c=1 d=1 t=3848
biao liang 	標量	c=3 d=1 t=16415
biao ma 	彪馬	c=2 d=1 t=4203
biao mian 	表面	c=18 d=3.39164 t=4768
biao ming 	表明	c=1 d=1 t=1745
biao qian 	標籤	c=2 d=0.1 t=12012
biao qing 	表情	c=1 d=1 t=883
biao shi 	標識	c=1 d=1.01481 t=1559
biao shi 	表示	c=38 d=1.32898 t=15321
biao shi dian 	標識點	c=1 d=1 t=1178
biao shi zhong 	表示中	c=1 d=1 t=4146
biao shu 	表述	c=1 d=1 t=1291
biao xian 	表現	c=1 d=1 t=17182
biao xing 	表型	c=1 d=1 t=17042
biao zheng 	表徵	c=2 d=1.96079 t=15084
biao zhi 	標誌	c=5 d=1.00002 t=5270
biao zhu 	標註	c=10 d=1.03206 t=9197
biao zhun 	標準	c=7 d=1.78894 t=17285
biao zhun cha 	標準差	c=1 d=1 t=9517
bie ren 	別人	c=3 d=2.22562 t=10580
bing 	並	c=6 d=1.00113 t=14978
bing bu hao 	並不好	c=1 d=1 t=7894
bing bu nan 	並不難	c=1 d=1 t=5865
bing bu neng 	並不能	c=3 d=1.5627 t=12670
bing bu shi 	並不是	c=1 d=1 t=10250
bing fa 	併發	c=2 d=1.90555 t=5536
bing fa an quan 	併發安全	c=1 d=1 t=5201
bing gong 	秉公	c=1 d=1 t=17371
bing lie 	並列	c=1 d=1 t=14478
bing mei 	並沒	c=1 d=1 t=10029
bing mei you 	並沒有	c=3 d=1.00044 t=6628
bing qi 	摒棄	c=1 d=1 t=5947
bing qie 	並且	c=6 d=1 t=11828
bing wei 	並未	c=1 d=1 t=5042
bing wu 	並無	c=2 d=1.59156 t=10222
bing xing 	並行	c=2 d=1.00018 t=12488
bing yin 	病因	c=1 d=1 t=1265
bo ding 	波定	c=1 d=1 t=15301
bo dong 	波動	c=1 d=1 t=9665
bo fang 	播放	c=3 d=3.06632 t=14379
bo kuo 	波擴	c=1 d=1 t=5226
bo lan 	波瀾	c=1 d=1 t=14821
bo ruo 	薄弱	c=0 d=0.1 t=3172
bo ruo dian 	薄弱點	c=1 d=1 t=3173
bo shi 	博士	c=1 d=1 t=10479
bo xing 	波形	c=0 d=0.1 t=9660
bo zi 	脖子	c=1 d=1 t=15728
bu 	不	c=3 d=0.100005 t=16336
bu 	步	c=2 d=0.80822 t=12721
bu an quan 	不安全	c=2 d=1.96561 t=5597
bu bao han 	不包含	c=1 d=1 t=1596
bu bi 	不必	c=2 d=1 t=14882
bu bian 	不變	c=7 d=1.37596 t=12248
bu bian xing 	不變性	c=1 d=1 t=6546
bu bian xing 	不變行	c=1 d=1 t=1078
bu bo fang 	不播放	c=2 d=1.04438 t=14995
bu ceng 	不曾	c=1 d=1 t=13489
bu chang 	補償	c=1 d=1 t=3754
bu cheng ren 	不承認	c=1 d=1 t=2226
bu chong 	補充	c=8 d=1.62312 t=15137
bu chu lai 	不出來	c=1 d=1 t=15420
bu cuo 	不錯	c=1 d=1 t=14527
bu da 	不大	c=2 d=1 t=12733
bu dao 	不到	c=2 d=1 t=15705
bu de 	不得	c=3 d=1.85214 t=17149
bu de bu 	不得不	c=1 d=1 t=15628
bu ding 	不定	c=4 d=1.02758 t=8376
bu ding 	補丁	c=1 d=1.00001 t=7400
bu ding chang 	不定長	c=2 d=1.52994 t=5506
bu ding chang 	補丁場	c=1 d=1 t=5378
bu ding wei zhi 	補丁位置	c=1 d=1 t=5236
bu dong 	不懂	c=1 d=1 t=15382
bu duan 	不斷	c=12 d=1.00029 t=15392
bu dui 	不對	c=1 d=1 t=12578
bu duo 	不多	c=1 d=1 t=13516
bu fa 	步伐	c=1 d=1 t=8467
bu fan hui 	不返回	c=1 d=1 t=5250
bu fen 	部分	c=22 d=1.01738 t=17362
bu fu 	不符	c=1 d=1 t=10598
bu fu 	步幅	c=1 d=1 t=6130
bu gao 	不高	c=1 d=1 t=1043
bu gou 	不夠	c=2 d=1 t=8595
bu guan 	不管	c=1 d=1 t=14666
bu guang deng 	補光燈	c=1 d=1 t=15154
bu gui fan 	不規範	c=1 d=1 t=9878
bu guo 	不過	c=3 d=1 t=16375
bu han 	不含	c=1 d=1 t=5324
bu hao 	不好	c=9 d=3.55928 t=16348
bu hui 	不會	c=5 d=1.96079 t=14827
bu huo 	捕獲	c=1 d=1 t=5227
bu ji 	不給	c=1 d=1 t=14668
bu ji zhong 	不集中	c=1 d=1 t=8606
bu jian dan 	不簡單	c=1 d=1 t=15665
bu jian rong 	不兼容	c=1 d=1 t=12433
bu jin 	不僅	c=1 d=1 t=5792
bu jin 	不盡	c=0 d=0.1 t=14885
bu jin 	不進	c=1 d=1 t=5922
bu jin jin 	不僅僅	c=1 d=1 t=11969
bu jin xing 	步進行	c=1 d=1 t=12722
bu ju 	佈局	c=3 d=1.9802 t=11899
bu jun yun 	不均勻	c=1 d=1 t=6557
bu ke 	不可	c=4 d=1 t=17159
bu ke bian 	不可變	c=1 d=1 t=5716
bu ke xing 	不可行	c=2 d=1.0002 t=10312
bu ke xue 	不科學	c=1 d=1 t=6438
bu ke yi 	不可以	c=1 d=1 t=10297
bu li hui 	不理會	c=1 d=1 t=6056
bu li xiang 	不理想	c=1 d=1 t=13157
bu liao 	不了	c=1 d=1.00014 t=15388
bu man zu 	不滿足	c=1 d=1 t=14301
bu ming xian 	不明顯	c=1 d=1 t=6601
bu neng 	不能	c=4 d=1.005 t=11349
bu peng 	不碰	c=1 d=1 t=6011
bu qi yan 	不起眼	c=1 d=1 t=15793
bu quan 	補全	c=2 d=1 t=14426
bu rong yi 	不容易	c=2 d=1.94649 t=14709
bu ru 	不如	c=1 d=1 t=14144
bu shan chu 	不刪除	c=1 d=1 t=16337
bu shang 	不上	c=1 d=1 t=3944
bu shao 	不少	c=2 d=1 t=16728
bu she 	不設	c=1 d=1 t=16777
bu shi 	不是	c=15 d=2.16232 t=16738
bu shi shi 	不實時	c=1 d=1 t=1394
bu shi yong 	不使用	c=1 d=1 t=16305
bu shi yong 	不適用	c=1 d=1 t=14973
bu shu 	部署	c=2 d=1 t=17180
bu shu xi 	不熟悉	c=1 d=1 t=14815
bu ta le 	不他了	c=1 d=1 t=14979
bu tai 	不太	c=4 d=1 t=15257
bu tai 	步態	c=11 d=1.8413 t=15376
bu tai dong 	不太懂	c=1 d=1 t=15377
bu tai hao 	不太好	c=2 d=1 t=16364
bu tai qiang 	不太強	c=1 d=1 t=8600
bu tao 	逋逃	c=1 d=1 t=1042
bu tong 	不同	c=75 d=1.62138 t=16356
bu tong shun 	不通順	c=1 d=1 t=9722
bu tuan sai 	不團賽	c=1 d=1 t=9179
bu wan 	不完	c=1 d=0.100003 t=13194
bu wan 	不玩	c=1 d=1 t=10625
bu wei 	部位	c=5 d=1 t=15284
bu xian shi 	不顯示	c=1 d=1 t=6172
bu xiang 	不想	c=1 d=1 t=13422
bu xiao 	不小	c=1 d=1 t=15708
bu xing 	不行	c=3 d=1 t=8602
bu xu yao 	不需要	c=2 d=1 t=11702
bu xun chang 	不尋常	c=1 d=1 t=14432
bu yao 	不要	c=6 d=1.93707 t=10245
bu yi 	不易	c=4 d=1 t=13468
bu yi lai 	不依賴	c=1 d=1 t=7040
